"No.","Time","Source","Destination","Protocol","Length","Info"
"50","3.609222","10.0.0.10","10.0.0.11","TCP","74","21  >  42362 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"51","3.609222","10.0.0.10","10.0.0.11","TCP","74","21  >  42364 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"52","3.609223","10.0.0.10","10.0.0.11","TCP","74","21  >  42366 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"53","3.609407","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42336 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"54","3.609447","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42338 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"55","3.609468","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42340 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"56","3.609489","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42342 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"57","3.609509","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42344 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"58","3.609529","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42346 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"59","3.609550","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42348 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"60","3.609570","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42350 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"61","3.609590","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42352 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"62","3.609610","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42354 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"63","3.609630","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42356 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"64","3.609650","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42358 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
"65","3.609670","10.0.0.10","10.0.0.11","TCP","74","[TCP Out-Of-Order] 21  >  42360 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=287980619 TSecr=21124836"
